fecha;provincia;porcentaje_residentes_2a_dosis
19/01/2022;Soria;85,37687318
19/01/2022;TotalCyL;85,4664427
18/01/2022;Salamanca;87,88440219
18/01/2022;Soria;85,87147293
18/01/2022;Ávila;85,98094682
18/01/2022;León;84,24915487
18/01/2022;Palencia;84,91962999
18/01/2022;Valladolid;85,27568477
18/01/2022;Burgos;83,7925346
18/01/2022;Segovia;82,14076285
18/01/2022;Zamora;86,17311886
18/01/2022;TotalCyL;85,12491868
17/01/2022;Salamanca;87,85888928
17/01/2022;Burgos;83,72515029
17/01/2022;León;84,20424197
17/01/2022;Segovia;82,08472876
17/01/2022;Soria;85,81521984
17/01/2022;Zamora;86,14204985
17/01/2022;TotalCyL;85,08433274
17/01/2022;Ávila;85,9574792
17/01/2022;Palencia;84,89343255
17/01/2022;Valladolid;85,24226494
16/01/2022;Ávila;85,94098843
16/01/2022;Segovia;82,04433209
16/01/2022;Valladolid;85,21326268
16/01/2022;León;84,18167597
16/01/2022;Palencia;84,87409634
16/01/2022;Soria;85,75896674
16/01/2022;TotalCyL;85,05660737
16/01/2022;Burgos;83,68544667
16/01/2022;Salamanca;87,83884341
16/01/2022;Zamora;86,122705
15/01/2022;Burgos;
15/01/2022;León;
15/01/2022;Palencia;
15/01/2022;Salamanca;
15/01/2022;Segovia;
15/01/2022;Soria;
15/01/2022;Valladolid;
15/01/2022;Ávila;
15/01/2022;TotalCyL;
15/01/2022;Zamora;
14/01/2022;Soria;
14/01/2022;León;
14/01/2022;Palencia;
14/01/2022;Zamora;
14/01/2022;TotalCyL;
14/01/2022;Ávila;
14/01/2022;Burgos;
14/01/2022;Salamanca;
14/01/2022;Segovia;
14/01/2022;Valladolid;
13/01/2022;Ávila;85,84838644
13/01/2022;Palencia;84,80049401
13/01/2022;Soria;85,70158859
13/01/2022;Burgos;83,56661541
13/01/2022;León;84,10740537
13/01/2022;Valladolid;85,08400093
13/01/2022;TotalCyL;84,96495496
13/01/2022;Salamanca;87,74924448
13/01/2022;Segovia;82,00132918
13/01/2022;Zamora;86,07463597
12/01/2022;Valladolid;84,97356184
12/01/2022;Zamora;86,01601519
12/01/2022;Burgos;83,46400112
12/01/2022;Segovia;81,95767472
12/01/2022;Soria;85,66446155
12/01/2022;Ávila;85,83062716
12/01/2022;León;83,9790202
12/01/2022;Palencia;84,75184162
12/01/2022;Salamanca;87,70763413
12/01/2022;TotalCyL;84,88265569
11/01/2022;Ávila;85,82174751
11/01/2022;Burgos;83,38627149
11/01/2022;León;83,93016372
