Fecha;Provincia;porcentaje_total
07/01/2022;Segovia;9,716515492
06/01/2022;Ávila;8,790901903
06/01/2022;Palencia;9,865284179
06/01/2022;Salamanca;10,81284599
06/01/2022;Soria;7,875613218
06/01/2022;Zamora;8,78070555
06/01/2022;Segovia;9,56680681
06/01/2022;Castilla y León;9,775496986
06/01/2022;Burgos;10,17998622
06/01/2022;León;8,988683105
06/01/2022;Valladolid;10,64643091
05/01/2022;Salamanca;10,75220189
05/01/2022;Segovia;9,504805508
05/01/2022;Valladolid;10,58879889
05/01/2022;Castilla y León;9,714106655
05/01/2022;Burgos;10,12334009
05/01/2022;León;8,933516671
05/01/2022;Palencia;9,794424121
05/01/2022;Zamora;8,731240541
05/01/2022;Ávila;8,691001606
05/01/2022;Soria;7,80682333
04/01/2022;Ávila;8,538249048
04/01/2022;Segovia;9,345973993
04/01/2022;Soria;7,665505226
04/01/2022;Burgos;9,883120125
04/01/2022;León;8,786185266
04/01/2022;Castilla y León;9,547896809
04/01/2022;Palencia;9,637357178
04/01/2022;Salamanca;10,58314684
04/01/2022;Valladolid;10,43370468
04/01/2022;Zamora;8,608450355
03/01/2022;Ávila;8,40014882
03/01/2022;Burgos;9,652890985
03/01/2022;León;8,63409863
03/01/2022;Palencia;9,463660233
03/01/2022;Castilla y León;9,383626387
03/01/2022;Salamanca;10,39988926
03/01/2022;Segovia;9,204196999
03/01/2022;Soria;7,527987008
03/01/2022;Valladolid;10,28208195
03/01/2022;Zamora;8,504615001
02/01/2022;Ávila;8,308548271
02/01/2022;Salamanca;10,26348378
02/01/2022;Segovia;9,076621171
02/01/2022;Soria;7,454912598
02/01/2022;Castilla y León;9,265447449
02/01/2022;Burgos;9,510075091
02/01/2022;León;8,548563914
02/01/2022;Palencia;9,340490883
02/01/2022;Valladolid;10,14503022
02/01/2022;Zamora;8,410549567
01/01/2022;Soria;7,411249474
01/01/2022;Valladolid;10,09588034
01/01/2022;Castilla y León;9,206649394
01/01/2022;Ávila;8,238647133
01/01/2022;León;8,504758266
01/01/2022;Segovia;8,983440391
01/01/2022;Burgos;9,460488895
01/01/2022;Palencia;9,278010802
01/01/2022;Salamanca;10,17101469
01/01/2022;Zamora;8,358682714
31/12/2021;León;8,467292656
31/12/2021;Salamanca;10,12844951
31/12/2021;Segovia;8,914850012
31/12/2021;Valladolid;10,03842923
31/12/2021;Burgos;9,43470854
31/12/2021;Palencia;9,206107554
31/12/2021;Ávila;8,19147978
31/12/2021;Soria;7,361114735
31/12/2021;Zamora;8,322500375
31/12/2021;Castilla y León;9,159924401
30/12/2021;Ávila;8,056464826
30/12/2021;Salamanca;10,01832232
30/12/2021;Segovia;8,845898687
30/12/2021;León;8,364699416
30/12/2021;Palencia;9,117576057
30/12/2021;Castilla y León;9,067122241
30/12/2021;Burgos;9,353410549
30/12/2021;Soria;7,270106155
30/12/2021;Valladolid;9,953217817
30/12/2021;Zamora;8,239816978
29/12/2021;León;8,225442459
29/12/2021;Valladolid;9,763255924
29/12/2021;Zamora;8,129484011
29/12/2021;Salamanca;9,860310172
29/12/2021;Segovia;8,730607411
29/12/2021;Soria;7,178099494
29/12/2021;Castilla y León;8,917136851
29/12/2021;Ávila;7,925575083
29/12/2021;Burgos;9,207797181
29/12/2021;Palencia;8,94476621
28/12/2021;Ávila;7,802972226
28/12/2021;León;8,100386456
28/12/2021;Palencia;8,801578962
28/12/2021;Soria;7,066818366
28/12/2021;Castilla y León;8,770104407
28/12/2021;Burgos;9,071109254
28/12/2021;Salamanca;9,683519205
28/12/2021;Segovia;8,616570535
28/12/2021;Valladolid;9,577881163
28/12/2021;Zamora;7,989903025
27/12/2021;León;7,985863336
27/12/2021;Palencia;8,669254703
27/12/2021;Soria;6,985444037
27/12/2021;Zamora;7,875804216
27/12/2021;Ávila;7,667559943
27/12/2021;Burgos;8,939345756
27/12/2021;Segovia;8,517147288
27/12/2021;Valladolid;9,395165484
27/12/2021;Castilla y León;8,632505527
27/12/2021;Salamanca;9,52342553
26/12/2021;Burgos;8,845034419
26/12/2021;Palencia;8,593523912
26/12/2021;Zamora;7,822419201
26/12/2021;León;7,917519559
26/12/2021;Soria;6,943357638
26/12/2021;Valladolid;9,267292983
26/12/2021;Ávila;7,602810205
26/12/2021;Salamanca;9,450847806
26/12/2021;Segovia;8,421221224
26/12/2021;Castilla y León;8,54607825
25/12/2021;Soria;6,920214781
25/12/2021;Zamora;7,79526827
25/12/2021;Ávila;7,560950446
